rank	id	score	severity_hint	confidence_hint	category	rule	path	line	column	function	async	hot	loop	test	excerpt	message
8902	C-12f475a56338e8f060de	69	medium	medium	concurrency	rust-relaxed-atomic	src/runtime_metrics.rs	512	31	rotate_status_window	0	0	1	0	.store(delta, Ordering::Relaxed);	Relaxed atomic ordering is unsafe for lifecycle/state publication unless independently synchronized.
8903	C-d5fe60bbcdeefc9041c6	69	medium	medium	concurrency	rust-relaxed-atomic	src/runtime_metrics.rs	516	36	rotate_status_window	0	0	1	0	.store(unix_seconds(), Ordering::Relaxed);	Relaxed atomic ordering is unsafe for lifecycle/state publication unless independently synchronized.
8904	C-b4251a56d3e32b95227d	69	medium	medium	concurrency	rust-relaxed-atomic	src/runtime_metrics.rs	528	27	drop	0	0	1	0	.fetch_sub(1, Ordering::Relaxed);	Relaxed atomic ordering is unsafe for lifecycle/state publication unless independently synchronized.
8905	C-fe918b941d1684bfaa1d	69	medium	medium	concurrency	rust-relaxed-atomic	src/runtime_metrics.rs	534	30	increment_status_map	0	0	1	0	counter.fetch_add(1, Ordering::Relaxed);	Relaxed atomic ordering is unsafe for lifecycle/state publication unless independently synchronized.
8906	C-9cfee8cadba516ae4014	69	medium	medium	concurrency	rust-relaxed-atomic	src/runtime_metrics.rs	538	27	increment_status_map	0	0	1	0	.fetch_add(1, Ordering::Relaxed);	Relaxed atomic ordering is unsafe for lifecycle/state publication unless independently synchronized.
8907	C-5e1eda53a930fa47db58	69	medium	medium	lifecycle	rust-detached-spawn	src/runtime_metrics.rs	553	5	start_window_rotator	0	0	1	0	tokio::spawn(async move {	Detached task may outlive reload/shutdown ownership and hide failures.
8908	C-ea1c0f4a1b53aa026a88	69	medium	medium	concurrency	rust-relaxed-atomic	src/runtime_metrics.rs	738	32	status_map_from_dashmap	0	0	1	0	entry.value().load(Ordering::Relaxed),	Relaxed atomic ordering is unsafe for lifecycle/state publication unless independently synchronized.
8909	C-c7ae5a3e69c884208f25	69	medium	medium	concurrency	rust-relaxed-atomic	src/runtime_metrics.rs	803	50	fold_error_map	0	0	1	0	let count = proxy_entry.value().load(Ordering::Relaxed);	Relaxed atomic ordering is unsafe for lifecycle/state publication unless independently synchronized.
8910	C-4955236f279fde2ca736	69	medium	medium	concurrency	rust-relaxed-atomic	src/runtime_metrics.rs	824	56	build_dns_snapshot	0	0	1	0	let lookups_total = metrics.dns_lookups_total.load(Ordering::Relaxed);	Relaxed atomic ordering is unsafe for lifecycle/state publication unless independently synchronized.
8911	C-16581ff71ec81b054736	69	medium	medium	concurrency	rust-relaxed-atomic	src/runtime_metrics.rs	825	50	build_dns_snapshot	0	0	1	0	let cache_hits = metrics.dns_cache_hits.load(Ordering::Relaxed);	Relaxed atomic ordering is unsafe for lifecycle/state publication unless independently synchronized.
8912	C-82f40277dc6e53fb1fff	69	medium	medium	concurrency	rust-relaxed-atomic	src/runtime_metrics.rs	826	54	build_dns_snapshot	0	0	1	0	let cache_misses = metrics.dns_cache_misses.load(Ordering::Relaxed);	Relaxed atomic ordering is unsafe for lifecycle/state publication unless independently synchronized.
8913	C-b95507eb7b24a8228a65	69	medium	medium	concurrency	rust-relaxed-atomic	src/runtime_metrics.rs	827	54	build_dns_snapshot	0	0	1	0	let stale_serves = metrics.dns_stale_serves.load(Ordering::Relaxed);	Relaxed atomic ordering is unsafe for lifecycle/state publication unless independently synchronized.
8914	C-0d423ca2de16d39fccda	69	medium	medium	concurrency	rust-relaxed-atomic	src/runtime_metrics.rs	828	49	build_dns_snapshot	0	0	1	0	let errors = metrics.dns_lookup_errors.load(Ordering::Relaxed);	Relaxed atomic ordering is unsafe for lifecycle/state publication unless independently synchronized.
8915	C-26e33800f5282a6840e9	69	medium	medium	concurrency	rust-relaxed-atomic	src/runtime_metrics.rs	867	61	pool_map	0	0	1	0	out.insert(entry.key().as_str(), entry.value().load(Ordering::Relaxed));	Relaxed atomic ordering is unsafe for lifecycle/state publication unless independently synchronized.
8916	C-256c554f00d6a150f550	69	medium	medium	concurrency	rust-relaxed-atomic	src/runtime_metrics.rs	876	40	tcp_rst_snapshot	0	0	1	0	let count = entry.value().load(Ordering::Relaxed);	Relaxed atomic ordering is unsafe for lifecycle/state publication unless independently synchronized.
8917	C-6c13e325395c95d79c31	69	medium	medium	concurrency	rust-relaxed-atomic	src/runtime_metrics.rs	893	52	build_logs_snapshot	0	0	1	0	metrics.log_counts[level.index()].load(Ordering::Relaxed),	Relaxed atomic ordering is unsafe for lifecycle/state publication unless independently synchronized.
8918	C-2d1bc096447872e84dc4	69	medium	medium	concurrency	rust-relaxed-atomic	src/runtime_metrics.rs	903	45	build_logs_snapshot	0	0	1	0	.insert(*category, counter.load(Ordering::Relaxed));	Relaxed atomic ordering is unsafe for lifecycle/state publication unless independently synchronized.
8919	C-bfd300390b0aff06b925	69	medium	medium	error-handling	rust-unwrap-or-default	src/runtime_metrics.rs	955	9	unix_seconds	0	0	1	0	.unwrap_or_default()	Default-on-error may turn invalid input or failed state retrieval into permissive behavior.
8920	C-59c5fd74792a87cadc93	69	medium	medium	concurrency	rust-relaxed-atomic	src/runtime_metrics.rs	1053	52	status_window_rotation_publishes_rates	0	0	1	0	assert_eq!(metrics.requests_window_1m.load(Ordering::Relaxed), 2);	Relaxed atomic ordering is unsafe for lifecycle/state publication unless independently synchronized.
8921	C-52bf8ad0094e9cf784d4	69	medium	medium	concurrency	rust-relaxed-atomic	src/runtime_metrics.rs	1058	33	status_window_rotation_publishes_rates	0	0	1	0	.map(|v| v.load(Ordering::Relaxed)),	Relaxed atomic ordering is unsafe for lifecycle/state publication unless independently synchronized.
8922	C-3cd3632f28d4e417e63b	69	medium	medium	concurrency	rust-relaxed-atomic	src/runtime_metrics.rs	1062	51	status_window_rotation_publishes_rates	0	0	1	0	metrics.requests_count_window_1m.load(Ordering::Relaxed),	Relaxed atomic ordering is unsafe for lifecycle/state publication unless independently synchronized.
8923	C-c9505422b832927e12d3	69	medium	medium	concurrency	rust-relaxed-atomic	src/runtime_metrics.rs	1069	33	status_window_rotation_publishes_rates	0	0	1	0	.map(|v| v.load(Ordering::Relaxed)),	Relaxed atomic ordering is unsafe for lifecycle/state publication unless independently synchronized.
8924	C-a5d60b7c863b4e47aa9f	69	medium	medium	concurrency	rust-relaxed-atomic	src/runtime_metrics.rs	1084	52	status_window_rotation_rounds_instead_of_truncating	0	0	1	0	assert_eq!(metrics.requests_window_1m.load(Ordering::Relaxed), 1);	Relaxed atomic ordering is unsafe for lifecycle/state publication unless independently synchronized.
8925	C-c2a48a85a4a966c22191	69	medium	medium	concurrency	rust-relaxed-atomic	src/runtime_metrics.rs	1089	33	status_window_rotation_rounds_instead_of_truncating	0	0	1	0	.map(|v| v.load(Ordering::Relaxed)),	Relaxed atomic ordering is unsafe for lifecycle/state publication unless independently synchronized.
8926	C-fa8d0fcaea1c7289592f	69	medium	medium	concurrency	rust-relaxed-atomic	src/runtime_metrics.rs	1092	58	status_window_rotation_rounds_instead_of_truncating	0	0	1	0	assert_eq!(metrics.requests_count_window_1m.load(Ordering::Relaxed), 59);	Relaxed atomic ordering is unsafe for lifecycle/state publication unless independently synchronized.
8927	C-a46160f80be8084a3bd2	69	medium	medium	concurrency	rust-relaxed-atomic	src/runtime_metrics.rs	1097	33	status_window_rotation_rounds_instead_of_truncating	0	0	1	0	.map(|v| v.load(Ordering::Relaxed)),	Relaxed atomic ordering is unsafe for lifecycle/state publication unless independently synchronized.
8928	C-84bb16656da13ad571e4	69	medium	medium	performance	rust-full-sort	src/secrets/mod.rs	1034	19	build	0	0	1	0	candidates.sort_unstable();	Full sorting in request/status/eviction paths can turn bounded work into O(n log n).
8929	C-2bb7742a5b0baf6a009a	69	medium	medium	performance	rust-full-sort	src/secrets/mod.rs	1036	19	build	0	0	1	0	candidates.sort_by_key(|candidate| std::cmp::Reverse(candidate.len()));	Full sorting in request/status/eviction paths can turn bounded work into O(n log n).
8930	C-82878da41da22940a218	69	medium	medium	error-handling	rust-result-ok	src/secrets/mod.rs	1111	63	redact_json_record	0	1	1	0	let mut document: LogJson = serde_json::from_str(text).ok()?;	Converting Result to Option erases the cause and can silently skip invalid or failed work.
8931	C-ecf5045cd33e6b36b664	69	medium	medium	error-handling	rust-result-ok	src/secrets/mod.rs	1113	41	redact_json_record	0	1	1	0	serde_json::to_string(&document).ok()	Converting Result to Option erases the cause and can silently skip invalid or failed work.
8932	C-801e38413537e6da78ec	69	medium	medium	resource-exhaustion	rust-variable-capacity	src/secrets/mod.rs	1253	53	redact	0	0	1	0	let out = out.get_or_insert_with(|| String::with_capacity(message.len()));	Variable-derived preallocation can amplify attacker-controlled lengths.
8933	C-7b64701a822817557a9d	69	medium	medium	test-gap	rust-ignore-test	src/secrets/registry.rs	139	5	source_reference_candidates	0	0	1	0	"#[cfg(feature = ""secrets-azure"")]"	Ignored or narrowly gated test may leave a production branch outside required CI.
8934	C-69b2ec4eab3e9a0738c1	69	medium	medium	implementation-gap	rust-gap-language	src/secrets/registry.rs	567	31	unsupported_cloud_suffix_for_base_key	0	0	1	0	if is_set && let Some(unsupported) = unsupported_cloud_suffix(&suffixed_key) {	Documented unsupported/best-effort/fail-open branch may be a pre-launch gap.
8935	C-12bb4bad18ce159553d2	69	medium	medium	implementation-gap	rust-gap-language	src/secrets/registry.rs	568	25	unsupported_cloud_suffix_for_base_key	0	0	1	0	return Some(unsupported);	Documented unsupported/best-effort/fail-open branch may be a pre-launch gap.
8936	C-ba66fbc6e198e559db22	69	medium	medium	implementation-gap	rust-gap-language	src/secrets/registry.rs	581	13	resolve_all_env_secrets	1	0	1	0	let mut unsupported: Vec<(String, &'static str, &'static str)> = Vec::new();	Documented unsupported/best-effort/fail-open branch may be a pre-launch gap.
8937	C-1dbbb700ae589be49ed1	69	medium	medium	implementation-gap	rust-gap-language	src/secrets/registry.rs	583	47	resolve_all_env_secrets	1	0	1	0	// Same collect-then-report reasoning as `unsupported`, for the same	Documented unsupported/best-effort/fail-open branch may be a pre-launch gap.
8938	C-eb4922806a59d3c3dc80	69	medium	medium	implementation-gap	rust-gap-language	src/secrets/registry.rs	661	13	resolve_all_env_secrets	1	0	1	0	unsupported.push((raw_key.to_string(), suffix, backend_name));	Documented unsupported/best-effort/fail-open branch may be a pre-launch gap.
8939	C-dfb0f9854216105d8214	69	medium	medium	performance	rust-full-sort	src/secrets/registry.rs	728	18	resolve_all_env_secrets	1	0	1	0	names.sort();	Full sorting in request/status/eviction paths can turn bounded work into O(n log n).
8940	C-d5b994b238e2b94df370	69	medium	medium	performance	rust-full-sort	src/secrets/registry.rs	761	31	resolve_all_env_secrets	1	0	1	0	invalid_unicode_direct.sort();	Full sorting in request/status/eviction paths can turn bounded work into O(n log n).
8941	C-a73fc3280f02f378d6fe	69	medium	medium	performance	rust-full-sort	src/secrets/registry.rs	819	17	<module>	0	0	1	0	results.vars.sort_by(|left, right| left.0.cmp(&right.0));	Full sorting in request/status/eviction paths can turn bounded work into O(n log n).
8942	C-34dfd2ae77590ca5628a	69	medium	medium	performance	rust-full-sort	src/secrets/registry.rs	822	9	<module>	0	0	1	0	.sort_by(|left, right| left.0.cmp(&right.0));	Full sorting in request/status/eviction paths can turn bounded work into O(n log n).
8943	C-24cfb2d235227f230857	69	medium	medium	performance	rust-full-sort	src/secrets/registry.rs	823	34	<module>	0	0	1	0	results.source_keys_to_remove.sort();	Full sorting in request/status/eviction paths can turn bounded work into O(n log n).
8944	C-3e97e66e3f3e9aeccef1	69	medium	medium	implementation-gap	rust-gap-language	src/secrets/registry.rs	836	14	resolve_secret	1	0	1	0	"""Unsupported secret suffix {suffix} on {key}{suffix}: {backend_name} support is not enabled in this build."""	Documented unsupported/best-effort/fail-open branch may be a pre-launch gap.
8945	C-8763bcf02f007d0fa07d	69	medium	medium	implementation-gap	rust-gap-language	src/secrets/registry.rs	901	29	resolve_external_reference	1	0	1	0	"return Err(format!(""Unsupported secret provider scheme '{}'"", provider));"	Documented unsupported/best-effort/fail-open branch may be a pre-launch gap.
8946	C-0499780731f11b5b566b	69	medium	medium	test-gap	rust-ignore-test	src/secrets/registry.rs	907	5	resolve_external_reference	1	0	1	0	"#[cfg(feature = ""secrets-azure"")]"	Ignored or narrowly gated test may leave a production branch outside required CI.
8947	C-2203e3a228a110a4318d	69	medium	medium	error-handling	rust-let-underscore	src/service_discovery/mod.rs	145	13	stop	0	0	1	0	let _ = entry.value().cancel_tx.send(true);	Discarded return value may hide persistence, cleanup, delivery, or task failures.
8948	C-34c26c5154b15ac77c89	69	medium	medium	lifecycle	rust-detached-spawn	src/service_discovery/mod.rs	163	9	stop	0	0	1	0	tokio::spawn(async move {	Detached task may outlive reload/shutdown ownership and hide failures.
8949	C-3b12c81951f5459735dd	69	medium	medium	lifecycle	rust-detached-spawn	src/service_discovery/mod.rs	424	5	graceful_join_or_abort	0	0	1	0	tokio::spawn(async move {	Detached task may outlive reload/shutdown ownership and hide failures.
8950	C-a0743de814255bb1895d	69	medium	medium	concurrency	rust-relaxed-atomic	src/socket_opts.rs	2193	76	io_uring_splice_loop	0	0	1	0	let last = shared_last_activity_ms.load(std::sync::atomic::Ordering::Relaxed);	Relaxed atomic ordering is unsafe for lifecycle/state publication unless independently synchronized.
8951	C-6b7b064bab991c8abcb6	69	medium	medium	concurrency	rust-relaxed-atomic	src/socket_opts.rs	2202	55	io_uring_splice_loop	0	0	1	0	let last = wm.load(std::sync::atomic::Ordering::Relaxed);	Relaxed atomic ordering is unsafe for lifecycle/state publication unless independently synchronized.
8952	C-800f55bcc3c2e6801b00	69	medium	medium	concurrency	rust-relaxed-atomic	src/socket_opts.rs	2225	55	io_uring_splice_loop	0	0	1	0	let last = wm.load(std::sync::atomic::Ordering::Relaxed);	Relaxed atomic ordering is unsafe for lifecycle/state publication unless independently synchronized.
8953	C-fc971c21cd4131b3c0a3	69	medium	medium	concurrency	rust-relaxed-atomic	src/system_metrics.rs	217	41	fd_snapshot	0	0	1	0	ps.overload.fd_current.load(Ordering::Relaxed),	Relaxed atomic ordering is unsafe for lifecycle/state publication unless independently synchronized.
8954	C-16e34422f5c77b5b05f7	69	medium	medium	error-handling	rust-result-ok	src/system_metrics.rs	430	68	host_memory_total_bytes	0	0	1	0	let kb = rest.split_whitespace().next()?.parse::<u64>().ok()?;	Converting Result to Option erases the cause and can silently skip invalid or failed work.
8955	C-790aed7f86db1945a7b4	69	medium	medium	concurrency	rust-blocking-fs	src/system_metrics.rs	465	17	read_cgroup_limit_file	0	0	1	0	let value = std::fs::read_to_string(path).ok()?;	Synchronous filesystem operation may block an async/runtime worker.
8956	C-3a664c75df76ac4f69b9	69	medium	medium	error-handling	rust-result-ok	src/system_metrics.rs	465	46	read_cgroup_limit_file	0	0	1	0	let value = std::fs::read_to_string(path).ok()?;	Converting Result to Option erases the cause and can silently skip invalid or failed work.
8957	C-fd0a1a4cdb1f6dce7e83	69	medium	medium	error-handling	rust-result-ok	src/system_metrics.rs	474	38	parse_cgroup_limit	0	0	1	0	let parsed = value.parse::<u64>().ok()?;	Converting Result to Option erases the cause and can silently skip invalid or failed work.
8958	C-6691102fe8a320e1c7dc	69	medium	medium	concurrency	rust-blocking-fs	src/system_metrics.rs	501	20	read_cgroup_v2_cpu_quota	0	0	1	0	let contents = std::fs::read_to_string(path).ok()?;	Synchronous filesystem operation may block an async/runtime worker.
8959	C-3aaa9c93187ae6138f3d	69	medium	medium	error-handling	rust-result-ok	src/system_metrics.rs	501	49	read_cgroup_v2_cpu_quota	0	0	1	0	let contents = std::fs::read_to_string(path).ok()?;	Converting Result to Option erases the cause and can silently skip invalid or failed work.
8960	C-ee4cd8d72532452d46c6	69	medium	medium	concurrency	rust-blocking-fs	src/tls/acme.rs	666	9	persist_locked	0	0	1	0	std::fs::rename(&tmp_path, &self.path)	Synchronous filesystem operation may block an async/runtime worker.
8961	C-d00b9d8e12e58bbbea08	69	medium	medium	durability	rust-file-write	src/tls/acme.rs	666	9	persist_locked	0	0	1	0	std::fs::rename(&tmp_path, &self.path)	Filesystem mutation needs atomicity, fsync, ownership, symlink, quota, and crash-recovery review.
8962	C-a8816011601d6372afe2	69	medium	medium	concurrency	rust-blocking-fs	src/tls/acme.rs	680	9	open	0	0	1	0	std::fs::create_dir_all(&dir).map_err(|error| AcmeError::Write(error.to_string()))?;	Synchronous filesystem operation may block an async/runtime worker.
8963	C-04569adbe7a4b4b85e2d	69	medium	medium	durability	rust-file-write	src/tls/acme.rs	680	9	open	0	0	1	0	std::fs::create_dir_all(&dir).map_err(|error| AcmeError::Write(error.to_string()))?;	Filesystem mutation needs atomicity, fsync, ownership, symlink, quota, and crash-recovery review.
8964	C-ff595c3a5c0a18c6e7fc	69	medium	medium	performance	rust-full-sort	src/tls/acme.rs	1098	9	certificate_metadata	0	0	1	0	sans.sort();	Full sorting in request/status/eviction paths can turn bounded work into O(n log n).
8965	C-9cdbaaecb859b89a5d71	69	medium	medium	error-handling	rust-result-ok	src/tls/acme.rs	1396	9	tls_alpn01_key_authorization_for_identifier	0	0	1	0	.ok()?	Converting Result to Option erases the cause and can silently skip invalid or failed work.
8966	C-417357eb55d4187298f2	69	medium	medium	error-handling	rust-unwrap-or-default	src/tls/backend.rs	283	58	append_backend_tls_pool_key_fields	0	0	1	0	buf.push_str(tls.san_allow_list_key_digest.as_deref().unwrap_or_default());	Default-on-error may turn invalid input or failed state retrieval into permissive behavior.
8967	C-6079ef771c6bae691e9d	69	medium	medium	error-handling	rust-result-ok	src/tls/events.rs	201	40	latest_for_source	0	0	1	0	let events = self.events.lock().ok()?;	Converting Result to Option erases the cause and can silently skip invalid or failed work.
8968	C-e8bd7075775cbea2944c	69	medium	medium	concurrency	rust-relaxed-atomic	src/tls/inventory_cache.rs	249	39	mark_stale	0	0	1	0	CACHE.stale_requested.store(true, Ordering::Relaxed);	Relaxed atomic ordering is unsafe for lifecycle/state publication unless independently synchronized.
8969	C-feb8b3e369005560f30e	69	medium	medium	concurrency	rust-relaxed-atomic	src/tls/inventory_cache.rs	255	35	refresh_is_due	0	0	1	0	if CACHE.stale_requested.load(Ordering::Relaxed) {	Relaxed atomic ordering is unsafe for lifecycle/state publication unless independently synchronized.
8970	C-d969092873e50fb2722d	69	medium	medium	concurrency	rust-relaxed-atomic	src/tls/inventory_cache.rs	286	40	schedule_refresh_if_due	0	0	1	0	CACHE.stale_requested.store(false, Ordering::Relaxed);	Relaxed atomic ordering is unsafe for lifecycle/state publication unless independently synchronized.
8971	C-896b4dbf0ab57f06d62b	69	medium	medium	resource-exhaustion	rust-spawn-blocking	src/tls/inventory_cache.rs	287	12	schedule_refresh_if_due	0	0	1	0	handle.spawn_blocking(move || {	spawn_blocking work needs explicit admission control and shutdown ownership.
8972	C-ddd17da8acedc1ec0cec	69	medium	medium	concurrency	rust-relaxed-atomic	src/tls/inventory_cache.rs	301	51	publish	0	0	1	0	generation: CACHE.generation.fetch_add(1, Ordering::Relaxed) + 1,	Relaxed atomic ordering is unsafe for lifecycle/state publication unless independently synchronized.
8973	C-f4a82be56a34d3fd9280	69	medium	medium	performance	rust-full-sort	src/tls/managed.rs	687	9	certificate_metadata	0	0	1	0	sans.sort();	Full sorting in request/status/eviction paths can turn bounded work into O(n log n).
8974	C-803bdc705ac482e5e703	69	medium	medium	concurrency	rust-blocking-fs	src/tls/managed.rs	955	25	failed_upsert_persist_does_not_leave_mutation_visible	0	0	1	0	let mut perms = std::fs::metadata(dir.path())	Synchronous filesystem operation may block an async/runtime worker.
8975	C-00de307b4714e0fb9f4d	69	medium	medium	lifecycle	rust-detached-spawn	src/tls/source/subscription.rs	393	5	spawn_async_material_set_reload_task	0	0	1	0	tokio::spawn(async move {	Detached task may outlive reload/shutdown ownership and hide failures.
8976	C-a183e99c66baf5cfb003	69	medium	medium	lifecycle	rust-detached-spawn	src/tls/source/subscription.rs	420	5	spawn_dynamic_material_set_reload_task	0	0	1	0	tokio::spawn(async move {	Detached task may outlive reload/shutdown ownership and hide failures.
8977	C-a5434185384c66f433ce	69	medium	medium	lifecycle	rust-detached-spawn	src/tls/source/subscription.rs	475	13	spawn_k8s_secret_watchers	0	0	1	0	tokio::spawn(run_k8s_secret_watch(	Detached task may outlive reload/shutdown ownership and hide failures.
8978	C-a9463a97cee816a78ebb	69	medium	medium	concurrency	rust-blocking-fs	src/tls/source/subscription.rs	1137	9	source_fingerprint_ignores_same_byte_rewrites	0	0	1	0	"std::fs::write(&path, b""same bytes"").expect(""write"");"	Synchronous filesystem operation may block an async/runtime worker.
8979	C-27c420a39d7957831ba1	69	medium	medium	durability	rust-file-write	src/tls/source/subscription.rs	1137	9	source_fingerprint_ignores_same_byte_rewrites	0	0	1	0	"std::fs::write(&path, b""same bytes"").expect(""write"");"	Filesystem mutation needs atomicity, fsync, ownership, symlink, quota, and crash-recovery review.
8980	C-df4287835659f158ebc3	69	medium	medium	concurrency	rust-blocking-fs	src/tls/source/subscription.rs	1147	9	source_fingerprint_ignores_same_byte_rewrites	0	0	1	0	"std::fs::write(&path, b""same bytes"").expect(""rewrite"");"	Synchronous filesystem operation may block an async/runtime worker.
8981	C-30371492eda0656a415d	69	medium	medium	durability	rust-file-write	src/tls/source/subscription.rs	1147	9	source_fingerprint_ignores_same_byte_rewrites	0	0	1	0	"std::fs::write(&path, b""same bytes"").expect(""rewrite"");"	Filesystem mutation needs atomicity, fsync, ownership, symlink, quota, and crash-recovery review.
8982	C-a40e58c70fee80c7e8ad	69	medium	medium	concurrency	rust-blocking-fs	src/tls/source/subscription.rs	1157	9	source_fingerprint_changes_when_bytes_change	0	0	1	0	"std::fs::write(&path, b""first bytes"").expect(""write"");"	Synchronous filesystem operation may block an async/runtime worker.
8983	C-ea004714371c32b4d085	69	medium	medium	durability	rust-file-write	src/tls/source/subscription.rs	1157	9	source_fingerprint_changes_when_bytes_change	0	0	1	0	"std::fs::write(&path, b""first bytes"").expect(""write"");"	Filesystem mutation needs atomicity, fsync, ownership, symlink, quota, and crash-recovery review.
8984	C-0a66271f109d529c5d47	69	medium	medium	concurrency	rust-blocking-fs	src/tls/source/subscription.rs	1166	9	source_fingerprint_changes_when_bytes_change	0	0	1	0	"std::fs::write(&path, b""second bytes"").expect(""rewrite"");"	Synchronous filesystem operation may block an async/runtime worker.
8985	C-bd9862a41166df71d5ad	69	medium	medium	durability	rust-file-write	src/tls/source/subscription.rs	1166	9	source_fingerprint_changes_when_bytes_change	0	0	1	0	"std::fs::write(&path, b""second bytes"").expect(""rewrite"");"	Filesystem mutation needs atomicity, fsync, ownership, symlink, quota, and crash-recovery review.
8986	C-c6087cc71c9dddd57d5c	69	medium	medium	error-handling	rust-result-ok	src/util/cidr.rs	148	56	parse_entry	0	0	1	0	let ip: IpAddr = network_str.trim().parse().ok()?;	Converting Result to Option erases the cause and can silently skip invalid or failed work.
8987	C-1904cde8c03a6af12f73	69	medium	medium	error-handling	rust-result-ok	src/util/cidr.rs	149	59	parse_entry	0	0	1	0	let prefix_len: u8 = prefix_str.trim().parse().ok()?;	Converting Result to Option erases the cause and can silently skip invalid or failed work.
8988	C-7b185dbb43704c2302e3	69	medium	medium	error-handling	rust-result-ok	src/util/cidr.rs	164	58	parse_entry	0	0	1	0	let ip = canonicalize_ip(entry.trim().parse().ok()?);	Converting Result to Option erases the cause and can silently skip invalid or failed work.
8989	C-f10f36968ee05a486159	69	medium	medium	implementation-gap	rust-gap-language	src/xds/server.rs	1476	14	ensure_supported_type_url	0	0	1	0	"""unsupported xDS type_url: {type_url}"""	Documented unsupported/best-effort/fail-open branch may be a pre-launch gap.
8990	C-fc3510d074e3f7c5eb99	69	medium	medium	performance	rust-full-sort	src/xds/server.rs	2364	23	build_delta_subscription	0	0	1	0	resource_names.sort();	Full sorting in request/status/eviction paths can turn bounded work into O(n log n).
8991	C-2cd0ee2fc6ab69f0020f	69	medium	medium	implementation-gap	rust-gap-language	src/xds/server.rs	2731	46	stream_registry_unregister_returns_true_on_last_stream	0	1	1	0	"// Unregistering an absent node is a no-op that reports ""last""."	Documented unsupported/best-effort/fail-open branch may be a pre-launch gap.
8992	C-b4e9dc9a694832861f52	69	medium	medium	performance	rust-full-sort	src/xds/snapshot.rs	65	22	new	0	0	1	0	resources.sort_by(|a, b| a.name.cmp(&b.name));	Full sorting in request/status/eviction paths can turn bounded work into O(n log n).
8993	C-162650822e5bc96f25d0	69	medium	medium	performance	rust-full-sort	src/xds/snapshot.rs	119	16	removed_resource_names	0	0	1	0	removed.sort();	Full sorting in request/status/eviction paths can turn bounded work into O(n log n).
8994	C-04e819378f3ee970b456	69	medium	medium	performance	rust-full-sort	src/xds/translator.rs	402	14	content_version	0	0	1	0	resources.sort_by(|left, right| {	Full sorting in request/status/eviction paths can turn bounded work into O(n log n).
8995	C-fa929e86b05ca0f0d3ea	69	medium	medium	implementation-gap	rust-todo-comment	vendor/h3-0.0.8-ferrum-patched/src/client/connection.rs	401	26	poll_close	0	0	1	0	//= type=TODO	Explicit unfinished or workaround marker needs launch-readiness disposition.
8996	C-8d313d5b32b895ef96c3	69	medium	medium	implementation-gap	rust-todo-comment	vendor/h3-0.0.8-ferrum-patched/src/client/connection.rs	410	26	poll_close	0	0	1	0	//= type=TODO	Explicit unfinished or workaround marker needs launch-readiness disposition.
8997	C-92bf3633d5adb1261181	69	medium	medium	implementation-gap	rust-todo-comment	vendor/h3-0.0.8-ferrum-patched/src/client/connection.rs	416	26	poll_close	0	0	1	0	//= type=TODO	Explicit unfinished or workaround marker needs launch-readiness disposition.
8998	C-9f0b0b3656685d1703d6	69	medium	medium	test-gap	rust-ignore-test	vendor/h3-0.0.8-ferrum-patched/src/client/connection.rs	420	21	poll_close	0	0	1	0	"#[cfg(feature = ""tracing"")]"	Ignored or narrowly gated test may leave a production branch outside required CI.
8999	C-b06e3663a9da5579ca84	69	medium	medium	test-gap	rust-ignore-test	vendor/h3-0.0.8-ferrum-patched/src/client/connection.rs	444	21	poll_close	0	0	1	0	"#[cfg(feature = ""tracing"")]"	Ignored or narrowly gated test may leave a production branch outside required CI.
9000	C-61f061fe69ce20d85385	69	medium	medium	error-handling	rust-let-underscore	vendor/h3-0.0.8-ferrum-patched/src/connection.rs	430	21	poll_accept_recv	0	1	1	0	let _ = stream.take();	Discarded return value may hide persistence, cleanup, delivery, or task failures.
9001	C-9db23c1b219b622275da	69	medium	medium	test-gap	rust-ignore-test	vendor/h3-0.0.8-ferrum-patched/src/frame.rs	264	21	decode	0	0	1	0	"#[cfg(feature = ""tracing"")]"	Ignored or narrowly gated test may leave a production branch outside required CI.
9002	C-f6f1e9108801aa7fb650	69	medium	medium	test-gap	rust-ignore-test	vendor/h3-0.0.8-ferrum-patched/src/proto/frame.rs	556	17	decode	0	0	1	0	"#[cfg(feature = ""tracing"")]"	Ignored or narrowly gated test may leave a production branch outside required CI.
9003	C-a10ccec5b108851f8667	69	medium	medium	implementation-gap	rust-gap-language	vendor/h3-0.0.8-ferrum-patched/src/proto/frame.rs	557	34	decode	0	0	1	0	"tracing::debug!(""Unsupported setting: {:#x?}"", identifier);"	Documented unsupported/best-effort/fail-open branch may be a pre-launch gap.
9004	C-9570ce3d4d8c3c3999e3	69	medium	medium	test-gap	rust-ignore-test	vendor/h3-0.0.8-ferrum-patched/src/qpack/decoder.rs	122	13	on_encoder_recv	0	1	1	0	"#[cfg(feature = ""tracing"")]"	Ignored or narrowly gated test may leave a production branch outside required CI.
9005	C-49749d4122c377fc56ee	69	medium	medium	implementation-gap	rust-todo-comment	vendor/h3-0.0.8-ferrum-patched/src/qpack/dynamic.rs	283	12	set_max_blocked	0	0	1	0	// TODO handle existing data	Explicit unfinished or workaround marker needs launch-readiness disposition.
